Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Reference
"=""5s2.5p4.(3P<2>).5g""","=""2[6]""","=""11/2""","=""""","=""18.786412""","=""""","=""""","=""0.00001""","=""""","=""L6925"""
"=""5s2.5p4.(3P<2>).5g""","=""2[2]""","=""3/2""","=""""","=""18.791596""","=""""","=""""","=""0.00518""","=""""","=""L6925"""
"=""5s2.5p4.(3P<2>).5g""","=""2[2]""","=""5/2""","=""""","=""18.791617""","=""""","=""""","=""0.00002""","=""""","=""L6925"""
"=""5s2.5p4.(1D<2>).6d""","=""2[4]""","=""7/2""","=""""","=""18.933493""","=""""","=""""","=""0.14188""","=""0.92""","=""L6925"""
"=""5s2.5p4.(1D<2>).6d""","=""2[4]""","=""9/2""","=""""","=""18.945620""","=""""","=""""","=""0.01213""","=""1.11""","=""L6925"""
"=""5s2.5p4.(1D<2>).6d""","=""2[1]""","=""3/2""","=""""","=""19.042000""","=""""","=""""","=""0.09638""","=""""","=""L6925"""
"=""5s2.5p4.(1D<2>).6d""","=""2[1]""","=""1/2""","=""""","=""19.141031""","=""""","=""""","=""0.09903""","=""""","=""L6925"""
"=""5s2.5p4.(1D<2>).6d""","=""2[3]""","=""5/2""","=""""","=""19.042201""","=""""","=""""","=""-0.09883""","=""1.02""","=""L6925"""
"=""5s2.5p4.(1D<2>).6d""","=""2[3]""","=""7/2""","=""""","=""19.090885""","=""""","=""""","=""0.04868""","=""1.14""","=""L6925"""
"=""5s2.5p4.(1D<2>).6d""","=""2[2]""","=""5/2""","=""""","=""19.097586""","=""""","=""""","=""0.00670""","=""1.05""","=""L6925"""
"=""5s2.5p4.(1D<2>).6d""","=""2[2]""","=""3/2""","=""""","=""19.168958""","=""""","=""""","=""0.07137""","=""""","=""L6925"""
"=""5s2.5p4.(1D<2>).4f""","=""2[1]*""","=""3/2""","=""""","=""19.275006""","=""""","=""""","=""0.10605""","=""""","=""L6925"""
"=""5s2.5p4.(3P<2>).6f""","=""2[5]*""","=""11/2""","=""""","=""19.320300""","=""""","=""""","=""0.04529""","=""""","=""L6925"""
"=""5s2.5p4.(3P<2>).6f""","=""2[5]*""","=""9/2""","=""""","=""19.321950""","=""""","=""""","=""0.00165""","=""""","=""L6925"""
"=""5s2.5p4.(1D<2>).4f""","=""2[5]*""","=""11/2""","=""""","=""19.357462""","=""""","=""""","=""0.03551""","=""""","=""L6925"""
"=""5s2.5p4.(1D<2>).4f""","=""2[5]*""","=""9/2""","=""""","=""19.366560""","=""""","=""""","=""0.00910""","=""""","=""L6925"""
"=""5s2.5p4.(1D<2>).4f""","=""2[2]*""","=""5/2""","=""""","=""19.370770""","=""""","=""""","=""0.00421""","=""""","=""L6925"""
"=""5s2.5p4.(1D<2>).4f""","=""2[2]*""","=""3/2""","=""""","=""19.378994""","=""""","=""""","=""0.00822""","=""""","=""L6925"""
"=""5s2.5p4.(3P<2>).6g""","=""2[5]""","=""11/2""","=""""","=""19.44976""","=""""","=""""","=""0.07077""","=""""","=""L6925"""
"=""5s2.5p4.(3P<2>).6g""","=""2[5]""","=""9/2""","=""""","=""19.449877""","=""""","=""""","=""0.00012""","=""""","=""L6925"""
"=""5s2.5p4.(3P<2>).6g""","=""2[4]""","=""7/2""","=""""","=""19.450086""","=""""","=""""","=""0.00021""","=""""","=""L6925"""
"=""5s2.5p4.(3P<2>).6g""","=""2[4]""","=""9/2""","=""""","=""19.450264""","=""""","=""""","=""0.00018""","=""""","=""L6925"""
"=""5s2.5p4.(3P<2>).6g""","=""2[3]""","=""5/2""","=""""","=""19.45343""","=""""","=""""","=""0.00317""","=""""","=""L6925"""
"=""5s2.5p4.(3P<2>).6g""","=""2[3]""","=""7/2""","=""""","=""19.453643""","=""""","=""""","=""0.00021""","=""""","=""L6925"""
"=""5s2.5p4.(3P<2>).6g""","=""2[6]""","=""11/2""","=""""","=""19.454817""","=""""","=""""","=""0.00117""","=""""","=""L6925"""
"=""5s2.5p4.(3P<2>).6g""","=""2[6]""","=""13/2""","=""""","=""19.45483""","=""""","=""""","=""0.00001""","=""""","=""L6925"""
"=""5s2.5p4.(3P<1>).8s""","=""2[1]""","=""3/2""","=""""","=""19.47691""","=""""","=""""","=""0.0221""","=""""","=""L6925"""
"=""5s2.5p4.(3P<1>).8s""","=""2[1]""","=""1/2""","=""""","=""19.51121""","=""""","=""""","=""0.0343""","=""""","=""L6925"""
"=""5s2.5p4.(1D<2>).4f""","=""2[3]*""","=""7/2""","=""""","=""19.478235""","=""""","=""""","=""-0.03297""","=""""","=""L6925"""
