Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Reference
"=""""","=""1.1""","=""3/2""","=""""","=""4.87422638""","=""""","=""0.00000012""","=""-0.0513374""","=""""","=""L7610"""
"=""4d.5s.(3D).5d""","=""2F""","=""5/2""","=""""","=""4.89013405""","=""""","=""0.00000025""","=""0.0159077""","=""""","=""L7610"""
"=""4d.5s.(3D).5d""","=""2F""","=""7/2""","=""""","=""4.9548621""","=""""","=""0.0000004""","=""0.0647280""","=""""","=""L7610"""
"=""4d.5s.(3D).5d""","=""e 4F""","=""3/2""","=""""","=""4.8907206""","=""""","=""0.0000005""","=""-0.0641415""","=""0.57""","=""L7610"""
"=""4d.5s.(3D).5d""","=""e 4F""","=""5/2""","=""""","=""4.9054453""","=""""","=""0.0000005""","=""0.0147247""","=""1.12""","=""L7610"""
"=""4d.5s.(3D).5d""","=""e 4F""","=""7/2""","=""""","=""4.9293566""","=""""","=""0.0000005""","=""0.0239113""","=""1.20""","=""L7610"""
"=""4d.5s.(3D).5d""","=""e 4F""","=""9/2""","=""""","=""4.9470366""","=""""","=""0.0000004""","=""0.0176800""","=""""","=""L7610"""
"=""""","=""1.2""","=""3/2""","=""""","=""4.9039530""","=""""","=""0.0000025""","=""-0.043084""","=""""","=""L7610"""
"=""""","=""1.3""","=""3/2""","=""""","=""4.9204419""","=""""","=""0.0000004""","=""0.016489""","=""""","=""L7610"""
"=""4d.5s.(3D).5d""","=""f 4P""","=""1/2""","=""""","=""4.9950453""","=""""","=""0.0000006""","=""0.0746034""","=""""","=""L7610"""
"=""4d.5s.(3D).5d""","=""f 4P""","=""3/2""","=""""","=""5.0157896""","=""""","=""0.0000005""","=""0.0207443""","=""""","=""L7610"""
"=""4d.5s.(3D).5d""","=""f 4P""","=""5/2""","=""""","=""5.0234715""","=""""","=""0.0000005""","=""0.0076819""","=""1.52""","=""L7610"""
"=""4d2.(3P).5p""","=""v 2D*""","=""3/2""","=""""","=""5.0382895""","=""""","=""0.0000004""","=""0.0148180""","=""""","=""L7610"""
"=""4d2.(3P).5p""","=""v 2D*""","=""5/2""","=""""","=""5.04273107""","=""""","=""0.00000025""","=""0.0044416""","=""1.25""","=""L7610"""
"=""4d.5s.(3D).5d""","=""2D""","=""3/2""","=""""","=""5.13578369""","=""""","=""0.00000025""","=""0.0930526""","=""""","=""L7610"""
"=""4d.5s.(3D).5d""","=""2D""","=""5/2""","=""""","=""5.1457829""","=""""","=""0.0000004""","=""0.0099992""","=""""","=""L7610"""
"=""4d.5s.(1D).5d""","=""2D""","=""3/2""","=""""","=""5.1652463""","=""""","=""0.0000004""","=""0.0194634""","=""""","=""L7610"""
"=""4d.5s.(1D).5d""","=""2D""","=""5/2""","=""""","=""5.16637902""","=""""","=""0.00000025""","=""0.0011327""","=""""","=""L7610"""
"=""""","=""1.4""","=""3/2""","=""""","=""5.1891539""","=""""","=""0.0000004""","=""0.0227749""","=""""","=""L7610"""
"=""5p2.(1D).5s""","=""2D""","=""3/2""","=""""","=""5.21340772""","=""""","=""0.00000025""","=""0.0242538""","=""""","=""L7610"""
"=""5p2.(1D).5s""","=""2D""","=""5/2""","=""""","=""5.21957568""","=""""","=""0.00000025""","=""0.0061680""","=""""","=""L7610"""
"=""4d2.(3F).6s""","=""4F""","=""3/2""","=""""","=""5.2205747""","=""""","=""0.0000006""","=""0.0009990""","=""""","=""L7610"""
"=""4d2.(3F).6s""","=""4F""","=""5/2""","=""""","=""5.2387824""","=""""","=""0.0000009""","=""0.018208""","=""""","=""L7610"""
"=""4d2.(3F).6s""","=""4F""","=""7/2""","=""""","=""5.2678374""","=""""","=""0.0000009""","=""0.029055""","=""""","=""L7610"""
"=""4d2.(3F).6s""","=""4F""","=""9/2""","=""""","=""5.3074320""","=""""","=""0.0000010""","=""0.039595""","=""""","=""L7610"""
"=""""","=""1.5*""","=""""","=""""","=""5.2213801""","=""""","=""0.0000005""","=""-0.086052""","=""""","=""L7610"""
"=""4d.5s.(1D).5d""","=""2P""","=""1/2""","=""""","=""5.2886238""","=""""","=""0.0000004""","=""0.0672437""","=""""","=""L7610"""
"=""4d.5s.(1D).5d""","=""2P""","=""3/2""","=""""","=""5.29237338""","=""""","=""0.00000025""","=""0.0037496""","=""""","=""L7610"""
"=""4d2.(1G).5p""","=""v 2F*""","=""5/2""","=""""","=""5.3136968""","=""""","=""0.0000011""","=""0.0213234""","=""""","=""L7610"""
"=""4d2.(1G).5p""","=""v 2F*""","=""7/2""","=""""","=""5.33071115""","=""""","=""0.00000025""","=""0.0170144""","=""""","=""L7610"""
"=""""","=""""","=""5/2""","=""""","=""5.34000""","=""""","=""""","=""0.00929""","=""""","=""L3465"""
"=""5p2.(3P).4d""","=""4F""","=""3/2""","=""""","=""5.3431957""","=""""","=""0.0000007""","=""0.00320""","=""""","=""L7610"""
"=""5p2.(3P).4d""","=""4F""","=""5/2""","=""""","=""5.3731777""","=""""","=""0.0000004""","=""0.0299820""","=""""","=""L7610"""
"=""5p2.(3P).4d""","=""4F""","=""7/2""","=""""","=""5.4186688""","=""""","=""0.0000004""","=""0.0454911""","=""1.26""","=""L7610"""
"=""5p2.(3P).4d""","=""4F""","=""9/2""","=""""","=""5.4788871""","=""""","=""0.0000006""","=""0.0602183""","=""1.33""","=""L7610"""
"=""5s2.7s""","=""g 2S""","=""1/2""","=""""","=""5.4111169""","=""""","=""0.0000004""","=""-0.0677702""","=""""","=""L7610"""
"=""4d.5s.(1D).5d""","=""2F""","=""5/2""","=""""","=""5.4403949""","=""""","=""0.0000015""","=""0.029278""","=""""","=""L7610"""
"=""4d.5s.(1D).5d""","=""2F""","=""7/2""","=""""","=""5.4783975""","=""""","=""0.0000004""","=""0.038003""","=""""","=""L7610"""
"=""""","=""g 4F""","=""5/2""","=""""","=""5.46185""","=""?""","=""""","=""-0.01655""","=""""","=""L3465"""
"=""""","=""g 4F""","=""7/2""","=""""","=""5.50070""","=""""","=""""","=""0.0389""","=""""","=""L3465"""
"=""""","=""g 4F""","=""9/2""","=""""","=""5.54948""","=""""","=""""","=""0.0488""","=""""","=""L3465"""
"=""4d.5s.(3D).7s""","=""g 4D""","=""5/2""","=""""","=""5.53649""","=""""","=""""","=""-0.0130""","=""""","=""L3465"""
"=""4d.5s.(3D).7s""","=""g 4D""","=""7/2""","=""""","=""5.5696""","=""""","=""""","=""0.0331""","=""""","=""L3465"""
"=""5p2.(3P).4d""","=""h 4D""","=""1/2""","=""""","=""5.5371388""","=""""","=""0.0000006""","=""-0.0325""","=""""","=""L7610"""
"=""5p2.(3P).4d""","=""h 4D""","=""3/2""","=""""","=""5.54806909""","=""""","=""0.00000025""","=""0.0109303""","=""""","=""L7610"""
"=""5p2.(3P).4d""","=""h 4D""","=""5/2""","=""""","=""5.5803378""","=""""","=""0.0000004""","=""0.0322687""","=""""","=""L7610"""
"=""5p2.(3P).4d""","=""h 4D""","=""7/2""","=""""","=""5.60454389""","=""""","=""0.00000025""","=""0.0242061""","=""""","=""L7610"""
"=""""","=""h 4F""","=""3/2""","=""""","=""5.54739""","=""?""","=""""","=""-0.05715""","=""0.73""","=""L3465"""
"=""""","=""h 4F""","=""5/2""","=""""","=""5.58788""","=""""","=""""","=""0.0405""","=""""","=""L3465"""
"=""""","=""h 4F""","=""7/2""","=""""","=""5.62746""","=""""","=""""","=""0.0396""","=""""","=""L3465"""
"=""""","=""h 4F""","=""9/2""","=""""","=""5.67804""","=""""","=""""","=""0.0506""","=""1.37""","=""L3465"""
"=""""","=""2""","=""1/2,3/2""","=""""","=""5.57732""","=""""","=""""","=""-0.1007""","=""""","=""L3465"""
"=""""","=""3""","=""7/2""","=""""","=""5.66154104""","=""""","=""0.00000025""","=""0.08422""","=""""","=""L7610"""
"=""5p2.(3P).4d?""","=""f 2P""","=""1/2""","=""""","=""5.6967646""","=""""","=""0.0000005""","=""0.0352236""","=""""","=""L7610"""
"=""5p2.(3P).4d?""","=""f 2P""","=""3/2""","=""""","=""5.7025510""","=""""","=""0.0000005""","=""0.0057864""","=""""","=""L7610"""
"=""Y II (5s2 1S<0>)""","=""Limit""","=""---""","=""""","=""6.21726""","=""""","=""0.00010""","=""""","=""""","=""L8844,L2111,L9735"""
"=""4d2.(3P).6s""","=""g 4P""","=""5/2""","=""""","=""6.23070""","=""""","=""""","=""0.0134""","=""""","=""L3465"""
