Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Reference
"=""6s.7f""","=""3F*""","=""3""","=""""","=""4.9197831""","=""""","=""""","=""0.000316""","=""""","=""L9224"""
"=""6s.7f""","=""3F*""","=""4""","=""""","=""4.9200806""","=""""","=""""","=""0.000298""","=""""","=""L9224"""
"=""6s.7f""","=""1F*""","=""3""","=""""","=""4.9228057""","=""""","=""""","=""0.002725""","=""""","=""L9224"""
"=""5d.4f""","=""(3/2,5/2)*""","=""1""","=""""","=""4.946161""","=""""","=""""","=""0.023355""","=""""","=""L4542"""
"=""6s.11p""","=""3P*""","=""1""","=""""","=""4.948997""","=""""","=""""","=""0.00284""","=""""","=""L4542"""
"=""6s.11p""","=""3P*""","=""2""","=""""","=""4.950787""","=""""","=""""","=""0.00179""","=""""","=""L4542"""
"=""6s.10d""","=""3D""","=""2""","=""""","=""4.949718""","=""""","=""""","=""-0.00107""","=""""","=""L4030"""
"=""6s.11p""","=""1P*""","=""1""","=""""","=""4.957154""","=""""","=""""","=""0.00744""","=""""","=""L4542"""
"=""6s.10d""","=""1D""","=""2""","=""""","=""4.959163""","=""""","=""""","=""0.00201""","=""""","=""L4030"""
"=""5d.8s""","=""1D""","=""2""","=""""","=""4.987109""","=""""","=""""","=""0.02795""","=""""","=""L4030"""
"=""6s.12s""","=""1S""","=""0""","=""""","=""4.988349""","=""""","=""""","=""0.00124""","=""""","=""L4030"""
"=""6s.8g""","=""1G""","=""4""","=""""","=""4.996567""","=""u""","=""""","=""0.00822""","=""""","=""L5587"""
"=""6s.8g""","=""3G""","=""5""","=""""","=""4.996567""","=""u""","=""""","=""0.00000""","=""""","=""L5587"""
"=""6s.8g""","=""3G""","=""4""","=""""","=""4.996567""","=""u""","=""""","=""0.00000""","=""""","=""L5587"""
"=""6s.8g""","=""3G""","=""3""","=""""","=""4.996567""","=""u""","=""""","=""0.00000""","=""""","=""L5587"""
"=""6s.12p""","=""3P*""","=""1""","=""""","=""5.008416""","=""""","=""""","=""0.01185""","=""""","=""L4542"""
