Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Reference
"=""3s2.3p5.(2P*<3/2>).5g""","=""2[11/2]*""","=""5""","=""""","=""15.214453""","=""""","=""""","=""0.00042""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).5g""","=""2[11/2]*""","=""6""","=""""","=""15.214453""","=""""","=""""","=""0.00000""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).5f""","=""2[7/2]""","=""3""","=""""","=""15.2150709""","=""""","=""""","=""0.000618""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).5f""","=""2[7/2]""","=""4""","=""""","=""15.2150746""","=""""","=""""","=""0.000004""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).5g""","=""2[7/2]*""","=""3""","=""""","=""15.215275""","=""""","=""""","=""0.000200""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).5g""","=""2[7/2]*""","=""4""","=""""","=""15.215275""","=""""","=""""","=""0.00000""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).5g""","=""2[9/2]*""","=""4""","=""""","=""15.215712""","=""""","=""""","=""0.00044""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).5g""","=""2[9/2]*""","=""5""","=""""","=""15.215712""","=""""","=""""","=""0.00000""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).7p""","=""2[1/2]""","=""1""","=""""","=""15.2713718""","=""""","=""""","=""0.055660""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).7p""","=""2[1/2]""","=""0""","=""""","=""15.2977958""","=""""","=""""","=""0.026424""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).7p""","=""2[5/2]""","=""3""","=""""","=""15.2755699""","=""""","=""""","=""-0.022226""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).7p""","=""2[5/2]""","=""2""","=""""","=""15.277418""","=""""","=""""","=""0.001848""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).7p""","=""2[3/2]""","=""1""","=""""","=""15.281661""","=""""","=""""","=""0.00424""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).7p""","=""2[3/2]""","=""2""","=""""","=""15.2824814""","=""""","=""""","=""0.000820""","=""""","="""""
"=""3s2.3p5.(2P*<1/2>).5d""","=""2[3/2]*""","=""2""","=""""","=""15.29629325""","=""""","=""""","=""0.0138118""","=""""","="""""
"=""3s2.3p5.(2P*<1/2>).5d""","=""2[3/2]*""","=""1""","=""""","=""15.351173""","=""""","=""""","=""0.054880""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).6d""","=""2[1/2]*""","=""1""","=""""","=""15.30807770""","=""""","=""""","=""-0.043095""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).6d""","=""2[1/2]*""","=""0""","=""""","=""15.3131553""","=""""","=""""","=""0.0050776""","=""""","="""""
"=""3s2.3p5.(2P*<1/2>).5d""","=""2[5/2]*""","=""2""","=""""","=""15.31272913""","=""""","=""""","=""-0.0004262""","=""""","="""""
"=""3s2.3p5.(2P*<1/2>).5d""","=""2[5/2]*""","=""3""","=""""","=""15.31916801""","=""""","=""""","=""0.0064389""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).6d""","=""2[7/2]*""","=""4""","=""""","=""15.3310400""","=""""","=""""","=""0.0118720""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).6d""","=""2[7/2]*""","=""3""","=""""","=""15.34600299""","=""""","=""""","=""0.0149630""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).6d""","=""2[3/2]*""","=""2""","=""""","=""15.3502992""","=""""","=""""","=""0.0042962""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).6d""","=""2[3/2]*""","=""1""","=""""","=""15.373670""","=""""","=""""","=""0.023371""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).6d""","=""2[5/2]*""","=""2""","=""""","=""15.3525603""","=""""","=""""","=""-0.021110""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).6d""","=""2[5/2]*""","=""3""","=""""","=""15.3532632""","=""""","=""""","=""0.000703""","=""""","="""""
"=""3s2.3p5.(2P*<1/2>).7s""","=""2[1/2]*""","=""0""","=""""","=""15.3582946""","=""""","=""""","=""0.005031""","=""""","="""""
"=""3s2.3p5.(2P*<1/2>).7s""","=""2[1/2]*""","=""1""","=""""","=""15.3594356""","=""""","=""""","=""0.001141""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).8s""","=""2[3/2]*""","=""2""","=""""","=""15.3620414""","=""""","=""""","=""0.002606""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).8s""","=""2[3/2]*""","=""1""","=""""","=""15.3660895""","=""""","=""""","=""0.004048""","=""""","="""""
