Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Reference
"=""""","=""532*""","=""3/2""","=""""","=""6.607579""","=""""","=""""","=""0.00067""","=""1.323""","="""""
"=""""","=""5332*""","=""9/2""","=""""","=""6.610955""","=""""","=""""","=""0.00338""","=""1.38""","="""""
"=""""","=""5333*""","=""7/2""","=""""","=""6.612814""","=""""","=""""","=""0.00186""","=""1.290""","="""""
"=""""","=""5337*""","=""9/2""","=""""","=""6.618196""","=""""","=""""","=""0.00538""","=""1.09""","="""""
"=""""","=""5338*""","=""5/2""","=""""","=""6.619483""","=""""","=""""","=""0.00129""","=""1.19""","="""""
"=""5d5.6s.(7S).8s""","=""f 8S""","=""7/2""","=""""","=""6.619764""","=""""","=""""","=""0.00028""","=""""","="""""
"=""""","=""534*""","=""11/2""","=""""","=""6.629134""","=""""","=""""","=""0.00937""","=""1.20""","="""""
"=""""","=""537*""","=""7/2""","=""""","=""6.662720""","=""""","=""""","=""0.03359""","=""1.203""","="""""
"=""""","=""538*""","=""3/2""","=""""","=""6.675623""","=""""","=""""","=""0.01290""","=""1.169""","="""""
"=""""","=""539*""","=""1/2""","=""""","=""6.686331""","=""""","=""""","=""0.01071""","=""1.113""","="""""
"=""""","=""539*""","=""11/2""","=""""","=""6.688790""","=""""","=""""","=""0.00246""","=""1.13""","="""""
"=""""","=""5401*""","=""7/2""","=""""","=""6.697402""","=""""","=""""","=""0.00861""","=""0.723""","="""""
"=""""","=""5408*""","=""7/2""","=""""","=""6.705895""","=""""","=""""","=""0.00849""","=""1.22""","="""""
"=""""","=""541*""","=""7/2""","=""""","=""6.717123""","=""""","=""""","=""0.01123""","=""1.270""","="""""
"=""""","=""542*""","=""5/2""","=""""","=""6.728397""","=""""","=""""","=""0.01127""","=""1.290""","="""""
"=""""","=""544*""","=""5/2""","=""""","=""6.745932""","=""""","=""""","=""0.01753""","=""1.069""","="""""
"=""""","=""544*""","=""3/2""","=""""","=""6.753097""","=""""","=""""","=""0.00717""","=""1.361""","="""""
"=""""","=""545*""","=""7/2""","=""""","=""6.758855""","=""""","=""""","=""0.00576""","=""""","="""""
"=""""","=""545*""","=""11/2""","=""""","=""6.763910""","=""""","=""""","=""0.00506""","=""""","="""""
"=""""","=""547*""","=""13/2""","=""""","=""6.785596""","=""""","=""""","=""0.02169""","=""""","="""""
"=""""","=""548*""","=""9/2""","=""""","=""6.795961""","=""""","=""""","=""0.01037""","=""1.185""","="""""
"=""""","=""548*""","=""5/2""","=""""","=""6.797188""","=""""","=""""","=""0.00123""","=""1.183""","="""""
"=""""","=""549*""","=""1/2""","=""""","=""6.815269""","=""""","=""""","=""0.01808""","=""1.314""","="""""
"=""""","=""552*""","=""11/2""","=""""","=""6.846885""","=""""","=""""","=""0.03162""","=""1.149""","="""""
"=""""","=""554*""","=""7/2""","=""""","=""6.875479""","=""""","=""""","=""0.02859""","=""1.17""","="""""
"=""""","=""557*""","=""13/2""","=""""","=""6.915406""","=""""","=""""","=""0.03993""","=""1.056""","="""""
"=""""","=""559*""","=""7/2""","=""""","=""6.930865""","=""""","=""""","=""0.01546""","=""1.22""","="""""
"=""""","=""559*""","=""3/2""","=""""","=""6.930966""","=""""","=""""","=""0.00010""","=""0.447""","="""""
"=""""","=""559*""","=""9/2""","=""""","=""6.932257""","=""""","=""""","=""0.00129""","=""1.06""","="""""
"=""""","=""563*""","=""9/2""","=""""","=""6.981299""","=""""","=""""","=""0.04904""","=""""","="""""
"=""""","=""564*""","=""9/2""","=""""","=""6.994100""","=""""","=""""","=""0.01280""","=""""","="""""
"=""""","=""564*""","=""1/2""","=""""","=""6.999140""","=""""","=""""","=""0.00504""","=""1.287""","="""""
"=""""","=""565*""","=""13/2""","=""""","=""7.008010""","=""""","=""""","=""0.00887""","=""""","="""""
"=""""","=""566*""","=""7/2""","=""""","=""7.029831""","=""""","=""""","=""0.02182""","=""1.25""","="""""
"=""""","=""568*""","=""5/2""","=""""","=""7.045123""","=""""","=""""","=""0.01529""","=""""","="""""
"=""""","=""568*""","=""3/2""","=""""","=""7.050493""","=""""","=""""","=""0.00537""","=""0.479""","="""""
"=""""","=""570*""","=""1/2""","=""""","=""7.076189""","=""""","=""""","=""0.02570""","=""0.94""","="""""
"=""""","=""570*""","=""7/2""","=""""","=""7.078294""","=""""","=""""","=""0.00210""","=""""","="""""
