Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Reference
"=""4d3.5s.(5P).5p""","=""x 4P*""","=""3/2""","=""""","=""4.323041""","=""""","=""""","=""0.02033""","=""1.587""","=""L3465"""
"=""4d4.(3G).5p""","=""v 4G*""","=""5/2""","=""""","=""4.296646""","=""""","=""""","=""-0.02639""","=""0.627""","=""L3465"""
"=""4d4.(3G).5p""","=""v 4G*""","=""7/2""","=""""","=""4.321283""","=""""","=""""","=""0.02464""","=""1.000""","=""L3465"""
"=""4d4.(3G).5p""","=""v 4G*""","=""9/2""","=""""","=""4.358905""","=""""","=""""","=""0.03762""","=""1.073""","=""L3465"""
"=""4d4.(3G).5p""","=""v 4G*""","=""11/2""","=""""","=""4.417634""","=""""","=""""","=""0.05873""","=""1.160""","=""L3465"""
"=""4d3.5s.(b 3P).5p""","=""v 2D*""","=""3/2""","=""""","=""4.308786""","=""""","=""""","=""-0.10885""","=""0.948""","=""L3465"""
"=""4d3.5s.(b 3P).5p""","=""v 2D*""","=""5/2""","=""""","=""4.401127""","=""""","=""""","=""0.09234""","=""1.160""","=""L3465"""
"=""4d3.5s.(c 3P).5p""","=""y 2S*""","=""1/2""","=""""","=""4.315589""","=""""","=""""","=""-0.08554""","=""2.080""","=""L3465"""
"=""4d3.5s.(b 1D).5p""","=""u 2F*""","=""5/2""","=""""","=""4.351828""","=""""","=""""","=""0.03624""","=""0.868""","=""L3465"""
"=""4d3.5s.(b 1D).5p""","=""u 2F*""","=""7/2""","=""""","=""4.361618""","=""""","=""""","=""0.00979""","=""1.117""","=""L3465"""
"=""4d3.5s.(b 3P).5p""","=""x 4S*""","=""3/2""","=""""","=""4.354282""","=""""","=""""","=""-0.00734""","=""1.806""","=""L3465"""
"=""4d4.5p""","=""353*""","=""13/2""","=""""","=""4.381201""","=""""","=""""","=""0.02692""","=""1.15""","=""L12172"""
"=""4d4.(3G).5p""","=""y 2H*""","=""11/2""","=""""","=""4.382204""","=""""","=""""","=""0.00100""","=""1.125""","=""L3465"""
"=""4d4.(3G).5p""","=""y 2H*""","=""9/2""","=""""","=""4.400991""","=""""","=""""","=""0.01879""","=""0.954""","=""L3465"""
"=""4d4.(3H).5p""","=""4I*""","=""15/2""","=""""","=""4.430122""","=""?""","=""""","=""0.02913""","=""1.24""","=""L12172"""
"=""4d4.(b 3F).5p""","=""u 2D*""","=""3/2""","=""""","=""4.442287""","=""""","=""""","=""0.01217""","=""0.834""","=""L3465"""
"=""4d4.(b 3F).5p""","=""u 2D*""","=""5/2""","=""""","=""4.454548""","=""""","=""""","=""0.01226""","=""1.17""","=""L3465"""
"=""4d4.(b 3F).5p""","=""u 4D*""","=""1/2""","=""""","=""4.453568""","=""""","=""""","=""-0.00098""","=""0.019""","=""L3465"""
"=""4d4.(b 3F).5p""","=""u 4D*""","=""3/2""","=""""","=""4.465447""","=""""","=""""","=""0.01188""","=""1.195""","=""L3465"""
"=""4d4.(b 3F).5p""","=""u 4D*""","=""5/2""","=""""","=""4.485764""","=""""","=""""","=""0.02032""","=""1.316""","=""L3465"""
"=""4d4.(b 3F).5p""","=""u 4D*""","=""7/2""","=""""","=""4.504868""","=""""","=""""","=""0.01910""","=""1.378""","=""L3465"""
"=""4d3.5s.(3G).5p""","=""v 2G*""","=""7/2""","=""""","=""4.469395""","=""""","=""""","=""-0.03547""","=""0.925""","=""L3465"""
"=""4d3.5s.(3G).5p""","=""v 2G*""","=""9/2""","=""""","=""4.504805""","=""""","=""""","=""0.03541""","=""1.086""","=""L3465"""
"=""4d4.(a 1G).5p""","=""x 2H*""","=""9/2""","=""""","=""""","=""""","=""""","=""""","=""""","=""L3465"""
"=""4d4.(a 1G).5p""","=""x 2H*""","=""11/2""","=""""","=""4.497622""","=""""","=""""","=""""","=""1.14""","=""L3465"""
"=""4d3.5s.(5P).5p""","=""w 4S*""","=""3/2""","=""""","=""4.509435""","=""""","=""""","=""0.01181""","=""1.948""","=""L3465"""
"=""4d4.(3H).5p""","=""y 4H*""","=""7/2""","=""""","=""4.520506""","=""""","=""""","=""0.01107""","=""0.691""","=""L3465"""
"=""4d4.(3H).5p""","=""y 4H*""","=""9/2""","=""""","=""4.552341""","=""""","=""""","=""0.03184""","=""0.970""","=""L3465"""
"=""4d4.(3H).5p""","=""y 4H*""","=""11/2""","=""""","=""4.584452""","=""""","=""""","=""0.03211""","=""1.15""","=""L3465"""
"=""4d4.(3H).5p""","=""y 4H*""","=""13/2""","=""""","=""4.618958""","=""""","=""""","=""0.03451""","=""1.23""","=""L3465"""
"=""4d3.5s.(3G).5p""","=""t 2F*""","=""5/2""","=""""","=""""","=""""","=""""","=""""","=""""","=""L3465"""
"=""4d3.5s.(3G).5p""","=""t 2F*""","=""7/2""","=""""","=""4.526848""","=""?""","=""""","=""""","=""""","=""L3465"""
"=""4d4.(3D).5p""","=""s 2F*""","=""5/2""","=""""","=""4.570876""","=""""","=""""","=""0.04403""","=""0.846""","=""L3465"""
"=""4d4.(3D).5p""","=""s 2F*""","=""7/2""","=""""","=""4.584836""","=""""","=""""","=""0.01396""","=""1.14""","=""L3465"""
"=""4d4.(c 3F).5p""","=""t 4F*""","=""3/2""","=""""","=""4.601261""","=""""","=""""","=""0.01642""","=""0.526""","=""L3465"""
"=""4d4.(c 3F).5p""","=""t 4F*""","=""5/2""","=""""","=""4.622952""","=""""","=""""","=""0.02169""","=""0.964""","=""L3465"""
"=""4d4.(c 3F).5p""","=""t 4F*""","=""7/2""","=""""","=""4.654326""","=""""","=""""","=""0.03137""","=""1.172""","=""L3465"""
"=""4d4.(c 3F).5p""","=""t 4F*""","=""9/2""","=""""","=""4.690518""","=""""","=""""","=""0.03619""","=""1.260""","=""L3465"""
