Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Reference
"=""5p5.(2P*<3/2>).6f""","=""2[3/2]""","=""1""","=""""","=""11.7456284""","=""""","=""""","=""0.045240""","=""0.50""","=""L763"""
"=""5p5.(2P*<3/2>).6f""","=""2[3/2]""","=""2""","=""""","=""11.7459060""","=""""","=""""","=""0.000278""","=""1.09""","=""L763"""
"=""5p5.(2P*<3/2>).6f""","=""2[9/2]""","=""5""","=""""","=""11.7467834""","=""""","=""""","=""0.000877""","=""""","=""L763"""
"=""5p5.(2P*<3/2>).6f""","=""2[9/2]""","=""4""","=""""","=""11.7468479""","=""""","=""""","=""0.000065""","=""""","=""L763"""
"=""5p5.(2P*<3/2>).6f""","=""2[5/2]""","=""3""","=""""","=""11.7485091""","=""""","=""""","=""0.001661""","=""1.17""","=""L763"""
"=""5p5.(2P*<3/2>).6f""","=""2[5/2]""","=""2""","=""""","=""11.7487346""","=""""","=""""","=""0.000226""","=""0.87""","=""L763"""
"=""5p5.(2P*<3/2>).10s""","=""2[3/2]*""","=""2""","=""""","=""11.7487336""","=""""","=""""","=""-0.000001""","=""1.512""","=""L763"""
"=""5p5.(2P*<3/2>).10s""","=""2[3/2]*""","=""1""","=""""","=""11.7521006""","=""""","=""""","=""0.003367""","=""1.164""","=""L763"""
"=""5p5.(2P*<3/2>).6f""","=""2[7/2]""","=""3""","=""""","=""11.7499162""","=""""","=""""","=""-0.002184""","=""""","=""L763"""
"=""5p5.(2P*<3/2>).6f""","=""2[7/2]""","=""4""","=""""","=""11.7499235""","=""""","=""""","=""0.000007""","=""""","=""L763"""
"=""5p5.(2P*<3/2>).10p""","=""2[1/2]""","=""1""","=""""","=""11.797638""","=""""","=""""","=""0.047714""","=""""","=""L3466"""
"=""5p5.(2P*<3/2>).10p""","=""2[1/2]""","=""0""","=""""","=""11.813966""","=""""","=""""","=""0.01633""","=""""","=""L3466"""
"=""5p5.(2P*<3/2>).9d""","=""2[1/2]*""","=""0""","=""""","=""11.8007639""","=""""","=""""","=""-0.013202""","=""""","=""L763"""
"=""5p5.(2P*<3/2>).9d""","=""2[1/2]*""","=""1""","=""""","=""11.8068167""","=""""","=""""","=""0.006053""","=""1.217""","=""L763"""
"=""5p5.(2P*<3/2>).10p""","=""2[5/2]""","=""2""","=""""","=""11.801022""","=""""","=""""","=""-0.005795""","=""""","=""L3466"""
"=""5p5.(2P*<3/2>).10p""","=""2[5/2]""","=""3""","=""""","=""11.802865""","=""""","=""""","=""0.00184""","=""""","=""L3466"""
"=""5p5.(2P*<3/2>).10p""","=""2[3/2]""","=""1""","=""""","=""11.805336""","=""""","=""""","=""0.00247""","=""""","=""L3466"""
"=""5p5.(2P*<3/2>).10p""","=""2[3/2]""","=""2""","=""""","=""11.806964""","=""""","=""""","=""0.00163""","=""""","=""L3466"""
"=""5p5.(2P*<3/2>).9d""","=""2[7/2]*""","=""4""","=""""","=""11.8094891""","=""""","=""""","=""0.002525""","=""1.237""","=""L763"""
"=""5p5.(2P*<3/2>).9d""","=""2[7/2]*""","=""3""","=""""","=""11.8135874""","=""""","=""""","=""0.004098""","=""1.078""","=""L763"""
"=""5p5.(2P*<3/2>).9d""","=""2[3/2]*""","=""2""","=""""","=""11.8125220""","=""""","=""""","=""-0.001065""","=""1.298""","=""L763"""
"=""5p5.(2P*<3/2>).9d""","=""2[3/2]*""","=""1""","=""""","=""11.840302""","=""""","=""""","=""0.027780""","=""0.899""","=""L3466"""
"=""5p5.(2P*<3/2>).9d""","=""2[5/2]*""","=""2""","=""""","=""11.8173556""","=""""","=""""","=""-0.022946""","=""0.980""","=""L763"""
"=""5p5.(2P*<3/2>).9d""","=""2[5/2]*""","=""3""","=""""","=""11.8199992""","=""""","=""""","=""0.002644""","=""1.225""","=""L763"""
"=""5p5.(2P*<3/2>).7f""","=""2[3/2]""","=""1""","=""""","=""11.8480632""","=""""","=""""","=""0.028064""","=""""","=""L3466"""
"=""5p5.(2P*<3/2>).7f""","=""2[3/2]""","=""2""","=""""","=""11.8482457""","=""""","=""""","=""0.000182""","=""""","=""L763"""
"=""5p5.(2P*<3/2>).7f""","=""2[9/2]""","=""5""","=""""","=""11.848815""","=""""","=""""","=""0.000569""","=""""","=""L3466"""
"=""5p5.(2P*<3/2>).7f""","=""2[9/2]""","=""4""","=""""","=""11.848857""","=""""","=""""","=""0.00004""","=""""","=""L3466"""
"=""5p5.(2P*<3/2>).7f""","=""2[5/2]""","=""3""","=""""","=""11.8499088""","=""""","=""""","=""0.001052""","=""""","=""L763"""
"=""5p5.(2P*<3/2>).7f""","=""2[5/2]""","=""2""","=""""","=""11.850063""","=""""","=""""","=""0.000154""","=""""","=""L3466"""
"=""5p5.(2P*<3/2>).11s""","=""2[3/2]*""","=""2""","=""""","=""11.8502809""","=""""","=""""","=""0.000218""","=""""","=""L3466"""
"=""5p5.(2P*<3/2>).11s""","=""2[3/2]*""","=""1""","=""""","=""11.851770""","=""""","=""""","=""0.001489""","=""1.188""","=""L3466"""
"=""5p5.(2P*<3/2>).7f""","=""2[7/2]""","=""3""","=""""","=""11.850792""","=""""","=""""","=""-0.00098""","=""""","=""L3466"""
"=""5p5.(2P*<3/2>).7f""","=""2[7/2]""","=""4""","=""""","=""11.850801""","=""""","=""""","=""0.00001""","=""""","=""L3466"""
"=""5p5.(2P*<1/2>).7s""","=""2[1/2]*""","=""0""","=""""","=""11.867885""","=""""","=""""","=""0.01708""","=""""","=""L3466"""
"=""5p5.(2P*<1/2>).7s""","=""2[1/2]*""","=""1""","=""""","=""11.8777586""","=""""","=""""","=""0.009874""","=""1.308""","=""L9794"""
"=""5p5.(2P*<3/2>).11p""","=""2[1/2]""","=""1""","=""[""","=""11.88150""","=""]""","=""""","=""0.00374""","=""""","=""L3466"""
"=""5p5.(2P*<3/2>).11p""","=""2[1/2]""","=""0""","=""""","=""11.892010""","=""""","=""""","=""0.01051""","=""""","=""L3466"""
"=""5p5.(2P*<3/2>).11p""","=""2[5/2]""","=""2""","=""[""","=""11.88371""","=""]""","=""""","=""-0.00830""","=""""","=""L3466"""
"=""5p5.(2P*<3/2>).11p""","=""2[5/2]""","=""3""","=""""","=""11.884900""","=""""","=""""","=""0.00119""","=""""","=""L3466"""
"=""5p5.(2P*<3/2>).11p""","=""2[3/2]""","=""1""","=""""","=""11.886451""","=""""","=""""","=""0.00155""","=""""","=""L3466"""
"=""5p5.(2P*<3/2>).11p""","=""2[3/2]""","=""2""","=""""","=""11.887531""","=""""","=""""","=""0.00108""","=""""","=""L3466"""
"=""5p5.(2P*<3/2>).10d""","=""2[7/2]*""","=""4""","=""""","=""11.8891168""","=""""","=""""","=""0.001586""","=""""","=""L3466"""
"=""5p5.(2P*<3/2>).10d""","=""2[7/2]*""","=""3""","=""""","=""11.8915728""","=""""","=""""","=""0.002456""","=""1.081""","=""L763"""
"=""5p5.(2P*<3/2>).10d""","=""2[1/2]*""","=""0""","=""""","=""11.889620""","=""""","=""""","=""-0.001953""","=""""","=""L3466"""
"=""5p5.(2P*<3/2>).10d""","=""2[1/2]*""","=""1""","=""""","=""11.8916815""","=""""","=""""","=""0.002061""","=""""","=""L3466"""
"=""5p5.(2P*<3/2>).10d""","=""2[3/2]*""","=""2""","=""""","=""11.8906550""","=""""","=""""","=""-0.001027""","=""""","=""L3466"""
"=""5p5.(2P*<3/2>).10d""","=""2[3/2]*""","=""1""","=""""","=""11.908158""","=""""","=""""","=""0.017503""","=""""","=""L3466"""
"=""5p5.(2P*<3/2>).10d""","=""2[5/2]*""","=""2""","=""""","=""11.894027""","=""""","=""""","=""-0.01413""","=""""","=""L3466"""
"=""5p5.(2P*<3/2>).10d""","=""2[5/2]*""","=""3""","=""""","=""11.8958601""","=""""","=""""","=""0.001833""","=""""","=""L763"""
"=""5p5.(2P*<3/2>).8f""","=""2[3/2]""","=""1""","=""""","=""11.914417""","=""""","=""""","=""0.018557""","=""""","=""L3466"""
"=""5p5.(2P*<3/2>).8f""","=""2[3/2]""","=""2""","=""""","=""11.914548""","=""""","=""""","=""0.00013""","=""""","=""L3466"""
"=""5p5.(2P*<3/2>).8f""","=""2[9/2]""","=""5""","=""""","=""11.914956""","=""""","=""""","=""0.00041""","=""""","=""L3466"""
"=""5p5.(2P*<3/2>).8f""","=""2[9/2]""","=""4""","=""""","=""11.914974""","=""""","=""""","=""0.00002""","=""""","=""L3466"""
"=""5p5.(2P*<3/2>).8f""","=""2[5/2]""","=""3""","=""""","=""11.915664""","=""""","=""""","=""0.00069""","=""""","=""L3466"""
"=""5p5.(2P*<3/2>).8f""","=""2[5/2]""","=""2""","=""""","=""11.915794""","=""""","=""""","=""0.00013""","=""""","=""L3466"""
"=""5p5.(2P*<3/2>).12s""","=""2[3/2]*""","=""2""","=""""","=""11.916025""","=""""","=""""","=""0.00023""","=""""","=""L3466"""
